# Force coefficients
# dragDir     : (9.844419e-01 0.000000e+00 1.757104e-01)
# sideDir     : (0.000000e+00 1.000000e+00 -0.000000e+00)
# liftDir     : (-1.757104e-01 0.000000e+00 9.844419e-01)
# rollAxis    : (9.844419e-01 0.000000e+00 1.757104e-01)
# pitchAxis   : (0.000000e+00 1.000000e+00 -0.000000e+00)
# yawAxis     : (-1.757104e-01 0.000000e+00 9.844419e-01)
# magUInf     : 5.148150e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
1             	9.185524e-03	-1.014397e-21	1.103198e+00	-5.515990e-01	-2.656059e-01	4.592762e-03	-5.470063e-01	5.561918e-01	4.592762e-03	-4.592762e-03	2.859931e-01	8.172049e-01
2             	9.108450e-03	-1.014002e-21	1.103157e+00	-5.515787e-01	-2.655464e-01	4.554225e-03	-5.470245e-01	5.561329e-01	4.554225e-03	-4.554225e-03	2.860323e-01	8.171251e-01
3             	9.003594e-03	-1.013549e-21	1.103229e+00	-5.516143e-01	-2.655126e-01	4.501797e-03	-5.471125e-01	5.561161e-01	4.501797e-03	-4.501797e-03	2.861017e-01	8.171270e-01
4             	8.884118e-03	-1.013091e-21	1.103364e+00	-5.516819e-01	-2.655011e-01	4.442059e-03	-5.472398e-01	5.561240e-01	4.442059e-03	-4.442059e-03	2.861808e-01	8.171830e-01
5             	8.758388e-03	-1.012631e-21	1.103504e+00	-5.517520e-01	-2.654987e-01	4.379194e-03	-5.473728e-01	5.561312e-01	4.379194e-03	-4.379194e-03	2.862533e-01	8.172507e-01
6             	8.631216e-03	-1.012190e-21	1.103602e+00	-5.518008e-01	-2.654906e-01	4.315608e-03	-5.474852e-01	5.561164e-01	4.315608e-03	-4.315608e-03	2.863102e-01	8.172914e-01
7             	8.505196e-03	-1.011765e-21	1.103638e+00	-5.518190e-01	-2.654690e-01	4.252598e-03	-5.475664e-01	5.560716e-01	4.252598e-03	-4.252598e-03	2.863500e-01	8.172880e-01
8             	8.382456e-03	-1.011390e-21	1.103618e+00	-5.518090e-01	-2.654328e-01	4.191228e-03	-5.476178e-01	5.560002e-01	4.191228e-03	-4.191228e-03	2.863763e-01	8.172418e-01
9             	8.264765e-03	-1.011075e-21	1.103565e+00	-5.517825e-01	-2.653879e-01	4.132383e-03	-5.476502e-01	5.559149e-01	4.132383e-03	-4.132383e-03	2.863946e-01	8.171704e-01
10            	8.153520e-03	-1.010835e-21	1.103506e+00	-5.517532e-01	-2.653425e-01	4.076760e-03	-5.476765e-01	5.558300e-01	4.076760e-03	-4.076760e-03	2.864107e-01	8.170958e-01
11            	8.049747e-03	-1.010670e-21	1.103466e+00	-5.517329e-01	-2.653045e-01	4.024874e-03	-5.477080e-01	5.557578e-01	4.024874e-03	-4.024874e-03	2.864284e-01	8.170374e-01
12            	7.953382e-03	-1.010558e-21	1.103455e+00	-5.517277e-01	-2.652778e-01	3.976691e-03	-5.477511e-01	5.557044e-01	3.976691e-03	-3.976691e-03	2.864500e-01	8.170055e-01
13            	7.862665e-03	-1.010475e-21	1.103474e+00	-5.517368e-01	-2.652607e-01	3.931333e-03	-5.478054e-01	5.556681e-01	3.931333e-03	-3.931333e-03	2.864761e-01	8.169975e-01
