x,y,z,Ux,Uy,Uz,k
8.95455,3.034,0.05,0.00157843,-1.38599e-07,0.0,5.84029125e-07
8.86364,3.034,0.05,0.00158032,-8.80127e-08,0.0,5.861669399999999e-07
8.77273,3.034,0.05,0.00157979,1.19319e-07,0.0,5.88483715e-07
8.68182,3.034,0.05,0.00157673,8.78412e-08,0.0,5.90321415e-07
8.59091,3.034,0.05,0.00157113,3.03119e-07,0.0,5.9179054e-07
8.5,3.034,0.05,0.00156318,3.42989e-07,0.0,5.93340865e-07
8.40909,3.034,0.05,0.00155299,4.20474e-07,0.0,5.95446135e-07
8.31818,3.034,0.05,0.00154061,6.05924e-07,0.0,5.978072250000001e-07
8.22727,3.034,0.05,0.00152621,5.00361e-07,0.0,6.00220585e-07
8.13636,3.034,0.05,0.00151003,7.81509e-07,0.0,6.0276238e-07
8.04545,3.034,0.05,0.00149234,6.91133e-07,0.0,6.049652699999999e-07
7.95455,3.034,0.05,0.00147333,8.03946e-07,0.0,6.06749005e-07
7.86364,3.034,0.05,0.00145327,8.77298e-07,0.0,6.0877205e-07
7.77273,3.034,0.05,0.00143249,7.68533e-07,0.0,6.1098887e-07
7.68182,3.034,0.05,0.00141122,1.02915e-06,0.0,6.1344065e-07
7.59091,3.034,0.05,0.00138967,7.87427e-07,0.0,6.16493385e-07
7.5,3.034,0.05,0.00136795,9.48582e-07,0.0,6.1957276e-07
7.40909,3.034,0.05,0.0013462,8.99356e-07,0.0,6.224976300000001e-07
7.31818,3.034,0.05,0.00132461,8.36041e-07,0.0,6.25320205e-07
7.22727,3.034,0.05,0.00130333,9.82738e-07,0.0,6.2774387e-07
7.13636,3.034,0.05,0.00128247,7.1168e-07,0.0,6.30323025e-07
7.04545,3.034,0.05,0.00126223,9.14358e-07,0.0,6.33893115e-07
6.95455,3.034,0.05,0.00124269,7.55931e-07,0.0,6.38346695e-07
6.86364,3.034,0.05,0.00122386,7.55188e-07,0.0,6.4331286e-07
6.77273,3.034,0.05,0.00120576,7.88588e-07,0.0,6.483159e-07
6.68182,3.034,0.05,0.00118847,6.06807e-07,0.0,6.53565915e-07
6.59091,3.034,0.05,0.00117202,7.75681e-07,0.0,6.590169900000001e-07
6.5,3.034,0.05,0.0011564,5.70888e-07,0.0,6.65071625e-07
6.40909,3.034,0.05,0.0011414,6.36822e-07,0.0,6.7124262e-07
6.31818,3.034,0.05,0.00112701,5.97173e-07,0.0,6.762134599999999e-07
6.22727,3.034,0.05,0.00111334,5.11599e-07,0.0,6.80924905e-07
6.13636,3.034,0.05,0.00110034,5.9374e-07,0.0,6.86013455e-07
6.04545,3.034,0.05,0.00108806,4.30708e-07,0.0,6.9168738e-07
5.95455,3.034,0.05,0.00107644,5.05286e-07,0.0,6.97608745e-07
5.86364,3.034,0.05,0.00106531,4.36987e-07,0.0,7.0333856e-07
5.77273,3.034,0.05,0.00105478,4.17592e-07,0.0,7.08791755e-07
5.68182,3.034,0.05,0.00104469,4.36443e-07,0.0,7.1391779e-07
5.59091,3.034,0.05,0.00103482,3.76351e-07,0.0,7.181231699999999e-07
5.5,3.034,0.05,0.00102557,3.9504e-07,0.0,7.2147393e-07
5.40909,3.034,0.05,0.00101692,3.47302e-07,0.0,7.24529775e-07
5.31818,3.034,0.05,0.00100882,3.28509e-07,0.0,7.2778673e-07
5.22727,3.034,0.05,0.00100125,3.07219e-07,0.0,7.3260359e-07
5.13636,3.034,0.05,0.000994039,3.06172e-07,0.0,7.37027645e-07
5.04545,3.034,0.05,0.000986992,2.78607e-07,0.0,7.39405185e-07
4.95455,3.034,0.05,0.000980374,2.85762e-07,0.0,7.40581125e-07
4.86364,3.034,0.05,0.000974394,2.32103e-07,0.0,7.3996021e-07
4.77273,3.034,0.05,0.000969051,2.12756e-07,0.0,7.397418899999999e-07
4.68182,3.034,0.05,0.000964272,2.17358e-07,0.0,7.39443035e-07
4.59091,3.034,0.05,0.000959726,1.47734e-07,0.0,7.375248099999999e-07
4.5,3.034,0.05,0.00095589,2.15342e-07,0.0,7.34402045e-07
4.40909,3.034,0.05,0.000952696,8.66224e-08,0.0,7.3132014e-07
4.31818,3.034,0.05,0.000950201,1.26221e-07,0.0,7.283496399999999e-07
4.22727,3.034,0.05,0.000948493,6.72268e-08,0.0,7.237684750000001e-07
4.13636,3.034,0.05,0.000947542,1.17703e-08,0.0,7.178893199999999e-07
4.04545,3.034,0.05,0.000947451,5.14076e-08,0.0,7.1222885e-07
3.95455,3.034,0.05,0.000948526,-1.43234e-07,0.0,7.076554649999999e-07
3.86364,3.034,0.05,0.000950647,-3.70223e-08,0.0,7.02439665e-07
3.77273,3.034,0.05,0.000953864,-1.65888e-07,0.0,6.967366450000001e-07
3.68182,3.034,0.05,0.000958213,-1.95426e-07,0.0,6.91618745e-07
3.59091,3.034,0.05,0.0009636,-1.76748e-07,0.0,6.86591175e-07
3.5,3.034,0.05,0.000969987,-3.56237e-07,0.0,6.807682000000001e-07
3.40909,3.034,0.05,0.000977424,-2.0865e-07,0.0,6.7330577e-07
3.31818,3.034,0.05,0.000985946,-4.24314e-07,0.0,6.66095315e-07
3.22727,3.034,0.05,0.000995525,-3.77924e-07,0.0,6.59473925e-07
3.13636,3.034,0.05,0.00100612,-4.30594e-07,0.0,6.5265495e-07
3.04545,3.034,0.05,0.0010178,-5.54062e-07,0.0,6.471414e-07
2.95455,3.034,0.05,0.00103035,-4.09494e-07,0.0,6.415247400000001e-07
2.86364,3.034,0.05,0.00104361,-6.5246e-07,0.0,6.3526428e-07
2.77273,3.034,0.05,0.00105752,-5.13769e-07,0.0,6.27804795e-07
2.68182,3.034,0.05,0.00107237,-6.39709e-07,0.0,6.2106852e-07
2.59091,3.034,0.05,0.00108817,-6.84091e-07,0.0,6.154114649999999e-07
2.5,3.034,0.05,0.00110466,-6.09855e-07,0.0,6.09820785e-07
2.40909,3.034,0.05,0.0011218,-8.26e-07,0.0,6.04314815e-07
2.31818,3.034,0.05,0.00113955,-6.38276e-07,0.0,5.9846559e-07
2.22727,3.034,0.05,0.00115781,-8.07718e-07,0.0,5.93385395e-07
2.13636,3.034,0.05,0.0011766,-7.72259e-07,0.0,5.8826308e-07
2.04545,3.034,0.05,0.00119588,-7.61764e-07,0.0,5.83814245e-07
1.95455,3.034,0.05,0.00121534,-8.71804e-07,0.0,5.792367899999999e-07
1.86364,3.034,0.05,0.00123496,-6.9888e-07,0.0,5.74592555e-07
1.77273,3.034,0.05,0.0012548,-8.92266e-07,0.0,5.702955700000001e-07
1.68182,3.034,0.05,0.00127485,-7.87138e-07,0.0,5.667213250000001e-07
1.59091,3.034,0.05,0.00129503,-8.3084e-07,0.0,5.64179695e-07
1.5,3.034,0.05,0.00131527,-8.6571e-07,0.0,5.6199294e-07
1.40909,3.034,0.05,0.00133559,-7.8102e-07,0.0,5.60666065e-07
1.31818,3.034,0.05,0.00135594,-9.19972e-07,0.0,5.6020357e-07
1.22727,3.034,0.05,0.00137629,-7.94582e-07,0.0,5.60454625e-07
1.13636,3.034,0.05,0.00139641,-8.48865e-07,0.0,5.6111131e-07
1.04545,3.034,0.05,0.00141619,-8.18198e-07,0.0,5.61835825e-07
0.954546,3.034,0.05,0.00143558,-7.83942e-07,0.0,5.6261259e-07
0.863637,3.034,0.05,0.00145446,-8.06083e-07,0.0,5.64095405e-07
0.772728,3.034,0.05,0.00147273,-7.22846e-07,0.0,5.6630039e-07
0.681818,3.034,0.05,0.00149018,-7.26507e-07,0.0,5.6826931e-07
0.590909,3.034,0.05,0.00150664,-6.65885e-07,0.0,5.700795450000001e-07
0.5,3.034,0.05,0.00152187,-6.17942e-07,0.0,5.71665585e-07
0.409091,3.034,0.05,0.00153579,-5.56429e-07,0.0,5.73454e-07
0.318182,3.034,0.05,0.00154824,-5.1529e-07,0.0,5.7564037e-07
0.227273,3.034,0.05,0.00155895,-3.96032e-07,0.0,5.778571e-07
0.136363,3.034,0.05,0.00156764,-3.54842e-07,0.0,5.79863525e-07
0.0454543,3.034,0.05,0.00157418,-2.38269e-07,0.0,5.8185526e-07
8.95455,3.02991,0.05,0.00480632,-4.22033e-07,0.0,1.778367745e-06
8.86363,3.02991,0.05,0.00481207,-2.68313e-07,0.0,1.78487966e-06
8.77271,3.02991,0.05,0.00481044,3.64265e-07,0.0,1.7919349399999998e-06
8.68179,3.0299,0.05,0.00480901,2.69488e-07,0.0,1.800480815e-06
8.59088,3.02989,0.05,0.00479978,9.24632e-07,0.0,1.80792303e-06
